principio_ativo_limpo,categoria_terapeutica,total_produtos_registrados,produtos_principais,empresas_principais,popularidade_mercado,diversidade_formulacoes,texto_completo_busca,texto_resumo_busca
Alfasimoctocogue,Outros,1,Nuwiq,02552927000160 - OCTAPHARMA BRASIL LTDA,baixa,baixa,Medicamento: Alfasimoctocogue | Principio Ativo:  ALFASIMOCTOCOGUE | Classe Terapeutica: ANTI-HEMORRAGICOS | Categoria: Outros | Produtos Comerciais: Nuwiq | Total de Produtos: 1,Alfasimoctocogue - Outros
Mononitrato De Isossorbida,Analgesico,7,CINCORDIL; CORONAR; LFM - MONONITRATO DE ISOSSORBIDA,00923140000131 - EMS SIGMA PHARMA LTDA; 49475833000106 - BIOLAB SANUS FARMACÊUTICA LTDA; 00394502007157 - LABORATÓRIO FARMACÊUTICO DA MARINHA,media,alta,Medicamento: Mononitrato De Isossorbida | Principio Ativo: MONONITRATO DE ISOSSORBIDA | Classe Terapeutica: ANTIANGINOSOS E VASODILATADORES | Categoria: Analgesico | Produtos Comerciais: CINCORDIL; CORONAR; LFM - MONONITRATO DE ISOSSORBIDA | Total de Produtos: 7,Mononitrato De Isossorbida - Analgesico
Monossialogangliosideo,Outros,1,SYGEN,61455192000115 - TRB PHARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA LTDA,baixa,baixa,Medicamento: Monossialogangliosideo | Principio Ativo: MONOSSIALOGANGLIOSIDEO | Classe Terapeutica: GANGLIOSIDEO | Categoria: Outros | Produtos Comerciais: SYGEN | Total de Produtos: 1,Monossialogangliosideo - Outros
Montelucaste De Sodio,Respiratorio,42,ARODAP; FISCHIO®; KOTRAR,57507378000365 - EMS S/A; 49475833000106 - BIOLAB SANUS FARMACÊUTICA LTDA; 45987013000134 - ORGANON FARMACÊUTICA LTDA.,alta,alta,Medicamento: Montelucaste De Sodio | Principio Ativo: MONTELUCASTE DE SÓDIO | Classe Terapeutica: ANTIASMATICOS | Categoria: Respiratorio | Produtos Comerciais: ARODAP; FISCHIO®; KOTRAR | Total de Produtos: 42,Montelucaste De Sodio - Respiratorio
Montelucaste De Sodio Dicloridrato De Levocetirizina,Outros,1,montelucaste de sódio +   dicloridrato de levocetirizina,44363661000157 - GLENMARK FARMACÊUTICA LTDA,baixa,baixa,Medicamento: Montelucaste De Sodio Dicloridrato De Levocetirizina | Principio Ativo: MONTELUCASTE DE SÓDIO +  DICLORIDRATO DE LEVOCETIRIZINA | Classe Terapeutica: ANTIALERGICOS | Categoria: Outros | Produtos Comerciais: montelucaste de sódio +   dicloridrato de levocetirizina | Total de Produtos: 1,Montelucaste De Sodio Dicloridrato De Levocetirizina - Outros
Moxetumomabe Pasudotox,Outros,1,LUMOXITI,60318797000100 - ASTRAZENECA DO BRASIL LTDA,baixa,baixa,Medicamento: Moxetumomabe Pasudotox | Principio Ativo: MOXETUMOMABE PASUDOTOX | Classe Terapeutica: OUTROS ANTINEOPLASICOS | Categoria: Outros | Produtos Comerciais: LUMOXITI | Total de Produtos: 1,Moxetumomabe Pasudotox - Outros
Mupirocina,Dermatologico,9,BACROCIN; BACTROBAN; BACTRONEO,27011022000103 - BL INDÚSTRIA OTICA LTDA; 33247743000110 - GLAXOSMITHKLINE BRASIL LTDA; 05161069000110 - BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,media,alta,Medicamento: Mupirocina | Principio Ativo: MUPIROCINA | Classe Terapeutica: ANTINFECCIOSOS TOPICOS | Categoria: Dermatologico | Produtos Comerciais: BACROCIN; BACTROBAN; BACTRONEO | Total de Produtos: 9,Mupirocina - Dermatologico
Mycobacterium Bovis,Outros,2,IMUNO  BCG; UROHIPE BCG,33485939000142 - FUNDACAO ATAULPHO DE PAIVA; 13109151000124 - UNO HEALTHCARE COMÉRCIO DE MEDICAMENTOS LTDA.,baixa,baixa,Medicamento: Mycobacterium Bovis | Principio Ativo: MYCOBACTERIUM BOVIS | Classe Terapeutica: IMUNOESTIMULANTES | Categoria: Outros | Produtos Comerciais: IMUNO  BCG; UROHIPE BCG | Total de Produtos: 2,Mycobacterium Bovis - Outros
Nadroparina Calcica,Outros,1,FRAXIPARINA,02433631000120 - ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA,baixa,baixa,Medicamento: Nadroparina Calcica | Principio Ativo: NADROPARINA CÁLCICA | Classe Terapeutica: ANTITROMBOTICO | Categoria: Outros | Produtos Comerciais: FRAXIPARINA | Total de Produtos: 1,Nadroparina Calcica - Outros
Nalbufina,Analgesico,1,NALFINA,61091583000106 - PRODUTOS FARMACÊUTICOS GUNTHER DO BRASIL LTDA,baixa,baixa,Medicamento: Nalbufina | Principio Ativo: NALBUFINA | Classe Terapeutica: ANALGESICOS NARCOTICOS | Categoria: Analgesico | Produtos Comerciais: NALFINA | Total de Produtos: 1,Nalbufina - Analgesico
Naproxeno,Outros,3,NAPROX; NAPROXENO; NAXOTEC,17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A; 60665981000118 - UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,baixa,media,Medicamento: Naproxeno | Principio Ativo: NAPROXENO | Classe Terapeutica: ANTINFLAMATORIOS ANTIREUMATICOS | Categoria: Outros | Produtos Comerciais: NAPROX; NAPROXENO; NAXOTEC | Total de Produtos: 3,Naproxeno - Outros
Naproxeno Esomeprazol Magnesico Tri-Hidratado,Outros,1,VIMOVO,10555143000113 - GRÜNENTHAL DO BRASIL FARMACÊUTICA LTDA.,baixa,baixa,Medicamento: Naproxeno Esomeprazol Magnesico Tri-Hidratado | Principio Ativo: NAPROXENO +  ESOMEPRAZOL MAGNÉSICO TRI-HIDRATADO | Classe Terapeutica: AGENTES ANTIINFLAMATÓRIOS/ANTIREUMÁTICOS EM ASSOCIAÇÃO | Categoria: Outros | Produtos Comerciais: VIMOVO | Total de Produtos: 1,Naproxeno Esomeprazol Magnesico Tri-Hidratado - Outros
Naproxeno Sodico,Outros,13,DUOACT; FLANAX; FLANAX XR,61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.; 18459628000115 - BAYER S.A.; 45992062000165 - GERMED FARMACEUTICA LTDA,alta,alta,Medicamento: Naproxeno Sodico | Principio Ativo: NAPROXENO SÓDICO | Classe Terapeutica: ANTINFLAMATORIOS ANTIREUMATICOS | Categoria: Outros | Produtos Comerciais: DUOACT; FLANAX; FLANAX XR | Total de Produtos: 13,Naproxeno Sodico - Outros
Naproxeno Sodico Succinato De Sumatriptana,Analgesico,1,SUMAXPRO,61230314000175 - LIBBS FARMACÊUTICA LTDA,baixa,baixa,Medicamento: Naproxeno Sodico Succinato De Sumatriptana | Principio Ativo: NAPROXENO SÓDICO +  SUCCINATO DE SUMATRIPTANA | Classe Terapeutica: ANALGESICOS CONTRA ENXAQUECA | Categoria: Analgesico | Produtos Comerciais: SUMAXPRO | Total de Produtos: 1,Naproxeno Sodico Succinato De Sumatriptana - Analgesico
Natalizumabe,Outros,1,TYSABRI,07986222000174 - BIOGEN BRASIL PRODUTOS FARMACÊUTICOS LTDA,baixa,baixa,Medicamento: Natalizumabe | Principio Ativo: NATALIZUMABE | Classe Terapeutica: OUTROS PRODUTOS COM ACAO IMUNOPROTETORA | Categoria: Outros | Produtos Comerciais: TYSABRI | Total de Produtos: 1,Natalizumabe - Outros
Naxitamabe,Outros,1,DANYELZA,55980684000127 - ADIUM S.A.,baixa,baixa,Medicamento: Naxitamabe | Principio Ativo: NAXITAMABE | Classe Terapeutica: ANTINEOPLASICO | Categoria: Outros | Produtos Comerciais: DANYELZA | Total de Produtos: 1,Naxitamabe - Outros
Neomicina,Outros,2,NEOMICON; TRATMIC,17562075000169 - CIFARMA CIENTÍFICA FARMACÊUTICA LTDA; 09545589000188 - MABRA FARMACEUTICA LTDA,baixa,baixa,Medicamento: Neomicina | Principio Ativo: NEOMICINA | Classe Terapeutica: ANTINFECCIOSOS | Categoria: Outros | Produtos Comerciais: NEOMICON; TRATMIC | Total de Produtos: 2,Neomicina - Outros
Nepafenaco,Outros,1,NEVANAC,56994502000130 - NOVARTIS BIOCIENCIAS S.A,baixa,baixa,Medicamento: Nepafenaco | Principio Ativo: NEPAFENACO | Classe Terapeutica: ANTINFLAMATORIOS | Categoria: Outros | Produtos Comerciais: NEVANAC | Total de Produtos: 1,Nepafenaco - Outros
Netupitanto Cloridrato De Palonosetrona,Outros,1,AKYNZEO,68949239000146 - UNITED MEDICAL LTDA,baixa,baixa,Medicamento: Netupitanto Cloridrato De Palonosetrona | Principio Ativo: NETUPITANTO +  CLORIDRATO DE PALONOSETRONA | Classe Terapeutica: ANTIEMÉTICOS E ANTINAUSEANTES | Categoria: Outros | Produtos Comerciais: AKYNZEO | Total de Produtos: 1,Netupitanto Cloridrato De Palonosetrona - Outros
Nevirapina,Outros,2,FARMANGUINHOS - NEVIRAPINA; NEVIRAX,33781055000135 - FUNDAÇÃO OSWALDO CRUZ; 17503475000101 - FUNDAÇÃO EZEQUIEL DIAS - FUNED,baixa,baixa,Medicamento: Nevirapina | Principio Ativo: NEVIRAPINA | Classe Terapeutica: ANTIVIROTICOS | Categoria: Outros | Produtos Comerciais: FARMANGUINHOS - NEVIRAPINA; NEVIRAX | Total de Produtos: 2,Nevirapina - Outros
Nicergolina,Analgesico,1,SERMION,36674526000102 - UPJOHN BRASIL IMPORTADORA E DISTRIBUIDORA DE MEDICAMENTOS LTDA.,baixa,baixa,Medicamento: Nicergolina | Principio Ativo: NICERGOLINA | Classe Terapeutica: VASODILATADORES CEREBRAIS | Categoria: Analgesico | Produtos Comerciais: SERMION | Total de Produtos: 1,Nicergolina - Analgesico
Nicotina,Outros,5,NICORETTE; NICOTINELL; NIQUITIN,51780468000187 - JANSSEN-CILAG FARMACÊUTICA LTDA; 30872270000153 - PF CONSUMER HEALTHCARE BRAZIL IMPORTADORA E DISTRIBUIDORA DE ME; 01233103000164 - MAPPEL INDÚSTRIA DE EMBALAGENS S.A.,media,media,Medicamento: Nicotina | Principio Ativo: NICOTINA | Classe Terapeutica: ANTITABAGICO | Categoria: Outros | Produtos Comerciais: NICORETTE; NICOTINELL; NIQUITIN | Total de Produtos: 5,Nicotina - Outros
Nicotinamida Pantotenato De Calcio Pantotenato De Calcio Vitamina B1 Vitamina B2 Vitamina B6,Outros,1,B-VIT,44010437000181 - CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA,baixa,baixa,Medicamento: Nicotinamida Pantotenato De Calcio Pantotenato De Calcio Vitamina B1 Vitamina B2 Vitamina B6 | Principio Ativo: NICOTINAMIDA +  PANTOTENATO DE CALCIO +  PANTOTENATO DE CÁLCIO +  VITAMINA B1 +  VITAMINA B2 +  VITAMINA B6 | Classe Terapeutica: POLIVITAMINICOS SEM MINERAIS | Categoria: Outros | Produtos Comerciais: B-VIT | Total de Produtos: 1,Nicotinamida Pantotenato De Calcio Pantotenato De Calcio Vitamina B1 Vitamina B2 Vitamina B6 - Outros
Nifedipina,Analgesico,2,LONCORD; NEO FEDIPINA,42457796000156 - DIFFUCAP - CHEMOBRÁS QUÍMICA E FARMACÊUTICA LTDA; 05161069000110 - BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,baixa,baixa,Medicamento: Nifedipina | Principio Ativo: NIFEDIPINA | Classe Terapeutica: ANTIANGINOSOS E VASODILATADORES | Categoria: Analgesico | Produtos Comerciais: LONCORD; NEO FEDIPINA | Total de Produtos: 2,Nifedipina - Analgesico
Nifedipino,Analgesico,2,ADALAT; NIFEDIPRESS,18459628000115 - BAYER S.A.; 17875154000120 - MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.,baixa,baixa,Medicamento: Nifedipino | Principio Ativo: NIFEDIPINO | Classe Terapeutica: ANTIANGINOSOS E VASODILATADORES | Categoria: Analgesico | Produtos Comerciais: ADALAT; NIFEDIPRESS | Total de Produtos: 2,Nifedipino - Analgesico
Nilotinibe,Outros,1,TASIGNA,56994502000130 - NOVARTIS BIOCIENCIAS S.A,baixa,baixa,Medicamento: Nilotinibe | Principio Ativo: NILOTINIBE | Classe Terapeutica: ANTINEOPLASICO | Categoria: Outros | Produtos Comerciais: TASIGNA | Total de Produtos: 1,Nilotinibe - Outros
Nimesulida,Outros,57,ARFLEX RETARD; CIMELIDE; INFLALID,42457796000156 - DIFFUCAP - CHEMOBRÁS QUÍMICA E FARMACÊUTICA LTDA; 02814497000107 - CIMED INDUSTRIA S.A; 05044984000126 - LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA,alta,alta,Medicamento: Nimesulida | Principio Ativo: NIMESULIDA | Classe Terapeutica: ANTINFLAMATORIOS | Categoria: Outros | Produtos Comerciais: ARFLEX RETARD; CIMELIDE; INFLALID | Total de Produtos: 57,Nimesulida - Outros
Nimesulida Pantoprazol Sodico Sesqui-Hidratado,Outros,2,NIDUE; Nivux,45992062000165 - GERMED FARMACEUTICA LTDA; 57507378000365 - EMS S/A,baixa,baixa,Medicamento: Nimesulida Pantoprazol Sodico Sesqui-Hidratado | Principio Ativo: NIMESULIDA +  PANTOPRAZOL SÓDICO SESQUI-HIDRATADO | Classe Terapeutica: ANTINFLAMATORIOS | Categoria: Outros | Produtos Comerciais: NIDUE; Nivux | Total de Produtos: 2,Nimesulida Pantoprazol Sodico Sesqui-Hidratado - Outros
Nimesulida Betaciclodextrina,Outros,3,MAXSULID; nimesulida betaciclodextrina; ZULIC,61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.; 61190096000192 - EUROFARMA LABORATÓRIOS S.A.; 43312503000105 - SUPERA FARMA LABORATÓRIOS S.A,baixa,media,Medicamento: Nimesulida Betaciclodextrina | Principio Ativo: NIMESULIDA BETACICLODEXTRINA | Classe Terapeutica: ANTINFLAMATORIOS | Categoria: Outros | Produtos Comerciais: MAXSULID; nimesulida betaciclodextrina; ZULIC | Total de Produtos: 3,Nimesulida Betaciclodextrina - Outros
Nimodipino,Analgesico,1,MIOCARDIL,30222814000131 - VITAMEDIC INDUSTRIA FARMACEUTICA LTDA,baixa,baixa,Medicamento: Nimodipino | Principio Ativo: NIMODIPINO | Classe Terapeutica: VASODILATADORES CEREBRAIS | Categoria: Analgesico | Produtos Comerciais: MIOCARDIL | Total de Produtos: 1,Nimodipino - Analgesico
Nimotuzumabe,Outros,1,CIMAHER,61190096000192 - EUROFARMA LABORATÓRIOS S.A.,baixa,baixa,Medicamento: Nimotuzumabe | Principio Ativo: NIMOTUZUMABE | Classe Terapeutica: ANTINEOPLASICO | Categoria: Outros | Produtos Comerciais: CIMAHER | Total de Produtos: 1,Nimotuzumabe - Outros
Nirmatrelvir Ritonavir,Outros,1,PAXLOVID,61072393000133 - PFIZER BRASIL LTDA,baixa,baixa,Medicamento: Nirmatrelvir Ritonavir | Principio Ativo: NIRMATRELVIR +  RITONAVIR | Classe Terapeutica: ANTIVIROTICOS | Categoria: Outros | Produtos Comerciais: PAXLOVID | Total de Produtos: 1,Nirmatrelvir Ritonavir - Outros
Nirsevimabe,Outros,1,BEYFORTUS,10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.,baixa,baixa,Medicamento: Nirsevimabe | Principio Ativo: NIRSEVIMABE | Classe Terapeutica: ANTICORPOS MONOCLONAIS | Categoria: Outros | Produtos Comerciais: BEYFORTUS | Total de Produtos: 1,Nirsevimabe - Outros
Nistatina,Outros,25,ALBISTIN; CANDITRAT; MICOSTALAB,44010437000181 - CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA; 17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A; 92265552000140 - MULTILAB INDÚSTRIA E COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA,alta,alta,Medicamento: Nistatina | Principio Ativo: NISTATINA | Classe Terapeutica: ANTIMICOTICO | Categoria: Outros | Produtos Comerciais: ALBISTIN; CANDITRAT; MICOSTALAB | Total de Produtos: 25,Nistatina - Outros
Nistatina Oxido De Zinco,Dermatologico,10,DERMONASE; DERMOSTATIN; NISTATINA + ÓXIDO DE ZINCO,17115437000173 - LABORATÓRIO GLOBO SA; 05044984000126 - LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA; 72593791000111 - NOVA QUIMICA FARMACÊUTICA S/A,alta,alta,Medicamento: Nistatina Oxido De Zinco | Principio Ativo: NISTATINA +  OXIDO DE ZINCO | Classe Terapeutica: EMOLIENTES E PROTETORES DA PELE E MUCOSAS | Categoria: Dermatologico | Produtos Comerciais: DERMONASE; DERMOSTATIN; NISTATINA + ÓXIDO DE ZINCO | Total de Produtos: 10,Nistatina Oxido De Zinco - Dermatologico
Nistatina Oxido De Zinco,Dermatologico,17,ALIVBABY; BABYMED TRATAMENTO; BABYNEO,44010437000181 - CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA; 02814497000107 - CIMED INDUSTRIA S.A; 05161069000110 - BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,alta,alta,Medicamento: Nistatina Oxido De Zinco | Principio Ativo: NISTATINA +  ÓXIDO DE ZINCO | Classe Terapeutica: ANTIMICOTICOS PARA USO TOPICO | Categoria: Dermatologico | Produtos Comerciais: ALIVBABY; BABYMED TRATAMENTO; BABYNEO | Total de Produtos: 17,Nistatina Oxido De Zinco - Dermatologico
Nitazoxanida,Outros,30,ANNITA; AZOX; IROSÊ,33349473000158 - FARMOQUÍMICA S/A; 61190096000192 - EUROFARMA LABORATÓRIOS S.A.; 48344725000719 - ALTHAIA S.A INDÚSTRIA FARMACÊUTICA,alta,alta,Medicamento: Nitazoxanida | Principio Ativo: NITAZOXANIDA | Classe Terapeutica: ANTIPARASITARIOS | Categoria: Outros | Produtos Comerciais: ANNITA; AZOX; IROSÊ | Total de Produtos: 30,Nitazoxanida - Outros
Nitisinona,Outros,3,NITIKABS; ORFADIN,"07453785000369 - PHARMEDIC PHARMACEUTICALS, IMPORTACAO, EXPORTACAO, DISTRIBUICAO; 21810980000168 - INNOVATIVE MEDICINES BRASIL SP DISTRIBUICAO DE MEDICAMENTOS LTD",baixa,baixa,Medicamento: Nitisinona | Principio Ativo: NITISINONA | Classe Terapeutica: NITISINONA | Categoria: Outros | Produtos Comerciais: NITIKABS; ORFADIN | Total de Produtos: 3,Nitisinona - Outros
Nitrato De Butoconazol,Outros,6,FEMMESIL; FEMYNAZOL; GYNAZOLE-1,57507378000365 - EMS S/A; 05161069000110 - BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A; 00923140000131 - EMS SIGMA PHARMA LTDA,media,alta,Medicamento: Nitrato De Butoconazol | Principio Ativo: NITRATO DE BUTOCONAZOL | Classe Terapeutica: ANTI-FUNGICOS | Categoria: Outros | Produtos Comerciais: FEMMESIL; FEMYNAZOL; GYNAZOLE-1 | Total de Produtos: 6,Nitrato De Butoconazol - Outros
Nitrato De Cerio Sulfadiazina De Prata,Dermatologico,1,DERMACERIUM,44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,baixa,baixa,Medicamento: Nitrato De Cerio Sulfadiazina De Prata | Principio Ativo: NITRATO DE CERIO +  SULFADIAZINA DE PRATA | Classe Terapeutica: ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS | Categoria: Dermatologico | Produtos Comerciais: DERMACERIUM | Total de Produtos: 1,Nitrato De Cerio Sulfadiazina De Prata - Dermatologico
Nitrato De Fenticonazol,Dermatologico,6,FENTIZOL; GINNA; NITRATO DE FENTICONAZOL,60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A; 61190096000192 - EUROFARMA LABORATÓRIOS S.A.; 45992062000165 - GERMED FARMACEUTICA LTDA,media,alta,Medicamento: Nitrato De Fenticonazol | Principio Ativo: NITRATO DE FENTICONAZOL | Classe Terapeutica: ANTIMICOTICOS PARA USO TOPICO | Categoria: Dermatologico | Produtos Comerciais: FENTIZOL; GINNA; NITRATO DE FENTICONAZOL | Total de Produtos: 6,Nitrato De Fenticonazol - Dermatologico
Nitrato De Isoconazol,Outros,9,GINECOL; GYNO-ICADEN; GYNOPLUS,30222814000131 - VITAMEDIC INDUSTRIA FARMACEUTICA LTDA; 18459628000115 - BAYER S.A.; 12022755000176 - GALLIA INDÚSTRIA FARMACÊUTICA LTDA,media,alta,Medicamento: Nitrato De Isoconazol | Principio Ativo: NITRATO DE ISOCONAZOL | Classe Terapeutica: ANTIMICOTICO | Categoria: Outros | Produtos Comerciais: GINECOL; GYNO-ICADEN; GYNOPLUS | Total de Produtos: 9,Nitrato De Isoconazol - Outros
Nitrato De Isoconazol Valerato De Diflucortolona,Dermatologico,1,ICACORT,11424477000110 - LEO PHARMA LTDA,baixa,baixa,Medicamento: Nitrato De Isoconazol Valerato De Diflucortolona | Principio Ativo: NITRATO DE ISOCONAZOL +  VALERATO DE DIFLUCORTOLONA | Classe Terapeutica: ANTIMICOTICOS PARA USO TOPICO | Categoria: Dermatologico | Produtos Comerciais: ICACORT | Total de Produtos: 1,Nitrato De Isoconazol Valerato De Diflucortolona - Dermatologico
Nitrato De Miconazol,Dermatologico,32,ANFUGITARIN; CICONAZOL; COLPADAK,58430828000160 - BLAU FARMACÊUTICA S.A.; 02814497000107 - CIMED INDUSTRIA S.A; 18324343000177 - BELFAR LTDA,alta,alta,Medicamento: Nitrato De Miconazol | Principio Ativo: NITRATO DE MICONAZOL | Classe Terapeutica: ANTIMICOTICOS PARA USO TOPICO | Categoria: Dermatologico | Produtos Comerciais: ANFUGITARIN; CICONAZOL; COLPADAK | Total de Produtos: 32,Nitrato De Miconazol - Dermatologico
Nitrato De Miconazol Tinidazol,Dermatologico,13,AMPLIUM G; ANFUGINE; CREVAGIN,61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.; 58430828000160 - BLAU FARMACÊUTICA S.A.; 61190096000192 - EUROFARMA LABORATÓRIOS S.A.,alta,alta,Medicamento: Nitrato De Miconazol Tinidazol | Principio Ativo: NITRATO DE MICONAZOL +  TINIDAZOL | Classe Terapeutica: PRODS  GINECOLOGICOS ANTINFECC  TOPICOS ASSOC  MEDICAMENTOSAS | Categoria: Dermatologico | Produtos Comerciais: AMPLIUM G; ANFUGINE; CREVAGIN | Total de Produtos: 13,Nitrato De Miconazol Tinidazol - Dermatologico
Nitrato De Nafazolina,Dermatologico,1,PRIVINA,33247743000110 - GLAXOSMITHKLINE BRASIL LTDA,baixa,baixa,Medicamento: Nitrato De Nafazolina | Principio Ativo: NITRATO DE NAFAZOLINA | Classe Terapeutica: DESCONGESTIONANTES NASAIS TOPICOS | Categoria: Dermatologico | Produtos Comerciais: PRIVINA | Total de Produtos: 1,Nitrato De Nafazolina - Dermatologico
Nitrato De Nafazolina Sulfato De Zinco,Oftalmico,1,MAXIBELL,44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,baixa,baixa,Medicamento: Nitrato De Nafazolina Sulfato De Zinco | Principio Ativo: NITRATO DE NAFAZOLINA +  SULFATO DE ZINCO | Classe Terapeutica: DESCONGESTIONATES OFTALMICOS | Categoria: Oftalmico | Produtos Comerciais: MAXIBELL | Total de Produtos: 1,Nitrato De Nafazolina Sulfato De Zinco - Oftalmico
Nitrato De Oxiconazol,Dermatologico,5,NITRATO DE OXICONAZOL; OCERAL; OXIPELLE,73856593000166 - PRATI DONADUZZI & CIA LTDA; 18459628000115 - BAYER S.A.; 27011022000103 - BL INDÚSTRIA OTICA LTDA,media,media,Medicamento: Nitrato De Oxiconazol | Principio Ativo: NITRATO DE OXICONAZOL | Classe Terapeutica: ANTIMICOTICOS PARA USO TOPICO | Categoria: Dermatologico | Produtos Comerciais: NITRATO DE OXICONAZOL; OCERAL; OXIPELLE | Total de Produtos: 5,Nitrato De Oxiconazol - Dermatologico
Nitrazepam,Outros,4,NITRAPAN; NITRAZEPAM (PORT 344/98 LISTA B1); SONEBON,44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.; 45992062000165 - GERMED FARMACEUTICA LTDA; 00923140000131 - EMS SIGMA PHARMA LTDA,baixa,media,Medicamento: Nitrazepam | Principio Ativo: NITRAZEPAM | Classe Terapeutica: ANSIOLITICOS SIMPLES | Categoria: Outros | Produtos Comerciais: NITRAPAN; NITRAZEPAM (PORT 344/98 LISTA B1); SONEBON | Total de Produtos: 4,Nitrazepam - Outros
Nitrendipino,Analgesico,3,CALTREN; NITRENCORD; NITRENDIPINO,61230314000175 - LIBBS FARMACÊUTICA LTDA; 60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,baixa,media,Medicamento: Nitrendipino | Principio Ativo: NITRENDIPINO | Classe Terapeutica: ANTIANGINOSOS E VASODILATADORES | Categoria: Analgesico | Produtos Comerciais: CALTREN; NITRENCORD; NITRENDIPINO | Total de Produtos: 3,Nitrendipino - Analgesico
Nitrofural,Dermatologico,1,FURACIN,61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,baixa,baixa,Medicamento: Nitrofural | Principio Ativo: NITROFURAL | Classe Terapeutica: ANTINFECCIOSOS TOPICOS | Categoria: Dermatologico | Produtos Comerciais: FURACIN | Total de Produtos: 1,Nitrofural - Dermatologico
Nitrofurantoina,Outros,3,MACRODANTINA; NITROFEN; NITROFURANTOINA,61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.; 17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A,baixa,media,Medicamento: Nitrofurantoina | Principio Ativo: NITROFURANTOÍNA | Classe Terapeutica: NITROFURANICOS | Categoria: Outros | Produtos Comerciais: MACRODANTINA; NITROFEN; NITROFURANTOINA | Total de Produtos: 3,Nitrofurantoina - Outros
Nitrofurazona,Dermatologico,1,CAZIDERM,44010437000181 - CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA,baixa,baixa,Medicamento: Nitrofurazona | Principio Ativo: NITROFURAZONA | Classe Terapeutica: ANTINFECCIOSOS TOPICOS | Categoria: Dermatologico | Produtos Comerciais: CAZIDERM | Total de Produtos: 1,Nitrofurazona - Dermatologico
Nitroglicerina,Analgesico,1,TRIDIL,44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,baixa,baixa,Medicamento: Nitroglicerina | Principio Ativo: NITROGLICERINA | Classe Terapeutica: ANTIANGINOSOS E VASODILATADORES | Categoria: Analgesico | Produtos Comerciais: TRIDIL | Total de Produtos: 1,Nitroglicerina - Analgesico
Nitroprusseto De Sodio,Outros,1,NITROP,17174657000178 - HYPOFARMA - INSTITUTO DE HYPODERMIA E FARMÁCIA LTDA,baixa,baixa,Medicamento: Nitroprusseto De Sodio | Principio Ativo: NITROPRUSSETO DE SÓDIO | Classe Terapeutica: ANTI-HIPERTENSIVOS SIMPLES | Categoria: Outros | Produtos Comerciais: NITROP | Total de Produtos: 1,Nitroprusseto De Sodio - Outros
Nitroprusseto De Sodio Di-Hidratado,Analgesico,1,NITROPRUS,44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,baixa,baixa,Medicamento: Nitroprusseto De Sodio Di-Hidratado | Principio Ativo: NITROPRUSSETO DE SÓDIO DI-HIDRATADO | Classe Terapeutica: VASODILATADORES | Categoria: Analgesico | Produtos Comerciais: NITROPRUS | Total de Produtos: 1,Nitroprusseto De Sodio Di-Hidratado - Analgesico
